Station,Hour,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),0,0.9985142203431049,0.9107738317265237,0.5441840193701342,0.6119505283251087,0.04285884020761677,-0.13950399184212806,0.11497013131800932,-0.11057708764626707,0.18324836567864014,-0.3578409945986362
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),1,0.9980597645502192,0.9185370669007361,0.510720111786458,0.6109768878645081,0.18440728834932393,-0.2664333623581344,0.07099919501358877,-0.07140865333136234,0.22056118830460736,-0.3175362328164025
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),2,0.9988232411446489,0.9277939673226454,0.47106889964039333,0.6396307715722329,0.3125950206671658,-0.28624095556549706,0.04761647796125921,-0.03126530335564421,0.26240579298195604,-0.18835467308606096
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),3,0.9993884209254793,0.9063913509403138,0.3991801294257253,0.48454884814498195,0.53274870192769,-0.24924397991027902,-0.13086410050198785,0.07567397688208286,0.27072143311248864,-0.18999345237503942
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),4,0.9963728628990326,0.9077721409469148,0.4299923598978985,0.45487141674786885,0.34097221123403926,-0.043405646659795454,-0.19457153897784155,0.030345794833316425,0.3019965559498579,0.024412184155546326
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),5,0.9968114849561243,0.9033388988434359,0.39900513404244814,0.3425732634283406,0.19098475251984542,-0.258269748958722,-0.2298951429810353,0.08367562954721207,0.3712589096147494,-0.33089155301973344
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),6,0.997890507431243,0.9098576568656096,0.42771147362725426,0.3340447645472245,0.474927678526462,-0.14910814136614484,-0.2742891740651878,0.10811324924862092,0.41471811006058973,-0.27820595237810913
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),7,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,1.0,-1.0
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),8,0.9983663819655764,0.8366389408382812,0.2668357301086357,0.5100832534647226,0.6017682437623667,-0.26403163963056264,-0.07996802561325693,-0.026236978913557994,0.4419095676022715,0.024849763180085336
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),9,0.9997942105097634,0.9221950094446353,0.7645645559513761,0.6129262944204568,0.9112556600454909,0.12026653739256468,-0.05623448154082414,-0.17175213064179654,0.0035369268451576584,0.5101491586510679
